ID,Type,Name,Train ,Test ,Class,Length
2,Image,ArrowHead,36,175,3,251
4,Image,BeetleFly,20,20,2,512
5,Image,BirdChicken,20,20,2,512
7,Simulated,CBF,30,900,3,128
8,Sensor,ChlorineConcentration,467,3840,3,166
10,Spectro,Coffee,28,28,2,286
15,Image,DiatomSizeReduction,16,306,4,345
16,Image,DistalPhalanxOutlineAgeGroup,400,139,3,80
17,Image,DistalPhalanxOutlineCorrect,600,276,2,80
19,Sensor,Earthquakes,322,139,2,512
21,ECG,ECG200,100,100,2,96
22,ECG,ECGFiveDays,23,861,2,136
23,Device,ElectricDevices,8926,7711,7,96
24,Image,FaceAll,560,1690,14,131
25,Image,FaceFour,24,88,4,350
26,Image,FacesUCR,200,2050,14,131
29,Sensor,FordA,3601,1320,2,500
32,Spectro,Ham,109,105,2,431
33,Image,HandOutlines,1000,370,2,2709
34,Motion,Haptics,155,308,5,1092
35,Image,Herring,64,64,2,512
36,Motion,InlineSkate,100,550,7,1882
37,Sensor,InsectWingbeatSound,220,1980,11,256
39,Device,LargeKitchenAppliances,375,375,3,720
40,Sensor,Lightning2,60,61,2,637
41,Sensor,Lightning7,70,73,7,319
42,Simulated,Mallat,55,2345,8,1024
43,Spectro,Meat,60,60,3,448
45,Image,MiddlePhalanxOutlineAgeGroup,400,154,3,80
47,Image,MiddlePhalanxTW,399,154,6,80
54,Sensor,Phoneme,214,1896,39,1024
56,Image,ProximalPhalanxOutlineAgeGroup,400,205,3,80
59,Device,RefrigerationDevices,375,375,3,720
61,Simulated,ShapeletSim,20,180,2,500
62,Image,ShapesAll,600,600,60,512
65,Sensor,SonyAIBORobotSurface2,27,953,2,65
67,Spectro,Strawberry,613,370,2,235
69,Image,Symbols,25,995,6,398
70,Simulated,SyntheticControl,300,300,6,60
71,Motion,ToeSegmentation1,40,228,2,277
73,Sensor,Trace,100,100,4,275
74,ECG,TwoLeadECG,23,1139,2,82
75,Simulated,TwoPatterns,1000,4000,4,128
78,Motion,UWaveGestureLibraryY,896,3582,8,315
80,Sensor,Wafer,1000,6164,2,152
81,Spectro,Wine,57,54,2,234
84,Motion,WormsTwoClass,181,77,2,900
85,Image,Yoga,300,3000,2,426
101,HRM,Fungi,18,186,18,201
127,Simulated,SmoothSubspace,150,150,3,15
