,,,,,,,One SAX,,,Two SAXes,,,Three SAXes,,,,,,
ID,Domain,Name,Train,Test,Class,Length,accuracy,rank,SAX(s),accuracy,rank,SAX(s),accuracy,rank,SAX(s),Two vs One,,,
2,Image,ArrowHead,36,175,3,251,0.703,3,"(2,10)",0.723,2,"(2,10),(4,8)",0.726,1,"(1,10),(2,6),(4,8)",0.028449502,0.703(3),0.723(2),0.726(1)
5,Image,BirdChicken,20,20,2,512,0.925,1,"(4,8)",0.915,2,"(4,8),(8,6)",0.91,3,"{x:2, y:6}, {x:4, y:4}, {x:8, y:8}",-0.010810811,0.925(1),0.915(2),0.910(3)
7,Simulated,CBF,30,900,3,128,0.99,2,"(2,8)",0.99,2,"(1,8),(2,4)",0.99,2,"{x:1, y:10}, {x:2, y:6}, {x:4, y:6}",0,0.990(2),0.990(2),0.990(2)
19,Sensor,Earthquakes,322,139,2,512,0.748,2,"(16,6)",0.748,2,"(2,6),(4,10)",0.748,2,"{x:2, y:10}, {x:4, y:8}, {x:8, y:8}",0,0.748(2),0.748(2),0.748(2)
20,ECG,ECG200,100,100,2,96,0.847,1,"(8,6)",0.808,3,"(2,10),(4,10)",0.816,2,"(1,8),(2,10),(4,10)",-0.046044864,0.847(1),0.808(3),0.816(2)
23,Device,ElectricDevices,8926,7711,7,96,0.724,1,"(1,6)",0.72,2,"(1,6),(4,6)",0.713,3,"{x:1, y:6}, {x:2, y:6}, {x:4, y:8}",-0.005524862,0.724(1),0.720(2),0.713(3)
34,Motion,Haptics,155,308,5,1092,0.464,2,"(8,10)",0.466,1,"(4,6),(8,10)",0.458,3,"(2,8),(4,10),(8,10)",0.004310345,0.464(2),0.466(1),0.458(3)
36,Motion,InlineSkate,100,550,7,1882,0.383,3,"(2,10)",0.391,1,"(2,6),(8,10)",0.385,2,"{x:2, y:10}, {x:4, y:6}, {x:8, y:6}",0.020887728,0.383(3),0.391(1),0.385(2)
39,Device,LargeKitchenAppliances,375,375,3,720,0.818,2,"(2,10)",0.822,1,"(2,10),(4,10)",0.818,2,"(2,10),(4,10),(8,4)",0.004889976,0.818(2),0.822(1),0.818(2)
41,Sensor,Lightning7,70,73,7,319,0.752,1,"(4,10)",0.729,3,"(2,10),(4,10)",0.736,2,"(1,8),(2,4),(4,10)",-0.030585106,0.752(1),0.729(3),0.736(2)
42,Simulated,Mallat,55,2345,8,1024,0.971,1.5,"(16,8)",0.97,3,"(2,8),(4,8)",0.971,1.5,"(2,10),(4,8),(8,6)",-0.001029866,0.971(1.5),0.970(3),0.971(1.5)
62,Image,ShapesAll,600,600,60,512,0.835,2,"(2,10)",0.84,1,"(2,10),(8,10)",0.824,3,"{x:2, y:10}, {x:4, y:8}, {x:8, y:6}",0.005988024,0.835(2),0.840(1),0.824(3)
69,Image,Symbols,25,995,6,398,0.943,1,"(8,10)",0.931,3,"(2,4),(4,8)",0.939,2,"{x:1, y:4}, {x:2, y:8}, {x:4, y:8}",-0.012725345,0.943(1),0.931(3),0.939(2)
81,Spectro,Wine,57,54,2,234,0.752,3,"(1,10)",0.782,1,"(1,10),(2,8)",0.774,2,"{x:1, y:10}, {x:2, y:8}, {x:4, y:8}",0.039893617,0.752(3),0.782(1),0.774(2)
101,HRM,Fungi,18,186,18,201,0.968,2,"(4,10)",0.971,1,"(1,10),(4,8)",0.963,3,"{x:1, y:10}, {x:2, y:10}, {x:4, y:6}",0.003099174,0.968(2),0.971(1),0.963(3)
,,,,,,, ,1.833333333,,,1.866666667,,,2.233333333,,5.32E-05,,,
