,,,,,,,50,,,100,,,150,,,200,,,250,,,300,,,400,,,500,,,500vs300,
ID,Domain,Name,Train,Test,Class,Length,accuracy,rank,train,accuracy,rank,train,accuracy,rank,train,accuracy,rank,train,accuracy,rank,train,accuracy,rank,train,accuracy,rank,train,accuracy,rank,train,accu,train
2,Image,ArrowHead,36,175,3,251,0.701 ,8,0.14,0.705 ,7,0.42,0.725 ,2,0.16,0.714 ,4.5,0.43,0.723 ,3,0.45,0.711 ,6,0.42,0.726 ,1,0.18,0.714 ,4.5,0.18,0.004219409,-0.571428571
5,Image,BirdChicken,20,20,2,512,0.910 ,8,0.14,0.930 ,6,0.34,0.955 ,4,0.16,0.945 ,5,0.3,0.915 ,7,0.33,0.965 ,2,0.34,0.965 ,2,0.16,0.965 ,2,0.16,0,-0.529411765
7,Simulated,CBF,30,900,3,128,0.987 ,8,0.13,0.992 ,4,0.39,0.992 ,4,0.16,0.992 ,4,0.4,0.991 ,7,0.4,0.993 ,1,0.39,0.992 ,4,0.17,0.992 ,4,0.17,-0.001007049,-0.564102564
19,Sensor,Earthquakes,322,139,2,512,0.748 ,4.5,0.33,0.749 ,1,0.52,0.748 ,4.5,0.39,0.748 ,4.5,0.62,0.748 ,4.5,0.68,0.747 ,8,0.71,0.748 ,4.5,0.52,0.748 ,4.5,0.58,0.001338688,-0.183098592
20,ECG,ECG200,100,100,2,96,0.828 ,2,0.11,0.809 ,8,0.29,0.811 ,7,0.12,0.820 ,3,0.28,0.832 ,1,0.3,0.816 ,5,0.32,0.812 ,6,0.13,0.818 ,4,0.15,0.00245098,-0.53125
23,Device,ElectricDevices,8926,7711,7,96,0.719 ,8,13.74,0.722 ,7,20.61,0.726 ,5.5,23.77,0.727 ,4,28.64,0.726 ,5.5,32.14,0.728 ,2.5,37.02,0.728 ,2.5,46.41,0.729 ,1,60.25,0.001373626,0.627498649
34,Motion,Haptics,155,308,5,1092,0.438 ,8,0.57,0.458 ,7,1.07,0.463 ,6,0.71,0.473 ,2,1.17,0.473 ,2,1.22,0.473 ,2,1.23,0.468 ,5,0.85,0.471 ,4,0.8,-0.00422833,-0.349593496
36,Motion,InlineSkate,100,550,7,1882,0.383 ,7,1.77,0.389 ,4,3.39,0.386 ,5,2.97,0.384 ,6,3.91,0.382 ,8,4.01,0.391 ,3,3.79,0.392 ,1.5,3.42,0.392 ,1.5,3.74,0.002557545,-0.013192612
39,Device,LargeKitchenAppliances,375,375,3,720,0.809 ,8,3.45,0.820 ,7,3.85,0.822 ,5,3.78,0.828 ,1,4.31,0.825 ,2,4.21,0.823 ,3.5,4.26,0.821 ,6,4.32,0.823 ,3.5,4.36,0,0.023474178
41,Sensor,Lightning7,70,73,7,319,0.752 ,3,0.29,0.738 ,8,0.74,0.758 ,2,0.35,0.740 ,6.5,0.81,0.740 ,6.5,0.77,0.745 ,5,0.78,0.748 ,4,0.4,0.762 ,1,0.4,0.022818792,-0.487179487
42,Simulated,Mallat,55,2345,8,1024,0.968 ,8,1.19,0.969 ,7,2.14,0.970 ,5.5,1.79,0.972 ,2,2.61,0.971 ,4,2.84,0.972 ,2,2.85,0.970 ,5.5,2.53,0.972 ,2,2.41,0,-0.154385965
62,Image,ShapesAll,600,600,60,512,0.803 ,8,8.83,0.831 ,7,9.99,0.840 ,6,10.35,0.844 ,5,10.84,0.849 ,4,10.81,0.855 ,1.5,10.99,0.852 ,3,11.92,0.855 ,1.5,12.58,0,0.144676979
69,Image,Symbols,25,995,6,398,0.924 ,8,0.2,0.943 ,3,0.6,0.943 ,3,0.24,0.942 ,5,0.6,0.944 ,1,0.63,0.943 ,3,0.62,0.940 ,7,0.26,0.941 ,6,0.24,-0.002120891,-0.612903226
81,Spectro,Wine,57,54,2,234,0.724 ,8,0.28,0.750 ,7,0.46,0.757 ,5,0.32,0.759 ,4,0.45,0.770 ,3,0.46,0.778 ,1,0.56,0.774 ,2,0.34,0.754 ,6,0.35,-0.030848329,-0.375
101,HRM,Fungi,18,186,18,201,0.941 ,8,0.57,0.962 ,6,1.21,0.959 ,7,0.6,0.973 ,5,1.21,0.974 ,4,1.23,0.977 ,1,1.27,0.975 ,3,0.6,0.976 ,2,0.6,-0.001023541,-0.527559055
,,,,,,,,6.966666667,31.74,,5.933333333,46.02,,4.766666667,45.87,,4.1,56.58,,4.166666667,60.48,,3.1,65.55,,3.8,72.21,,3.166666667,86.97,-0.00029794,-0.273563702
