ID,Type,Name,SAX
2,Image,ArrowHead,"(2, 10)"
4,Image,BeetleFly,"(8, 4)"
5,Image,BirdChicken,"(4, 8)"
7,Simulated,CBF,"(2, 8)"
8,Sensor,ChlorineConcentration,"(1, 6)"
10,Spectro,Coffee,"(8, 10)"
15,Image,DiatomSizeReduction,"(1, 8)"
16,Image,DistalPhalanxOutlineAgeGroup,"(1, 10)"
17,Image,DistalPhalanxOutlineCorrect,"(2, 8)"
19,Sensor,Earthquakes,"(16, 6)"
21,ECG,ECG200,"(8, 6)"
22,ECG,ECGFiveDays,"(2, 10)"
23,Device,ElectricDevices,"(1, 6)"
24,Image,FaceAll,"(2, 10)"
25,Image,FaceFour,"(2, 10)"
26,Image,FacesUCR,"(2, 10)"
29,Sensor,FordA,"(2, 10)"
32,Spectro,Ham,"(4, 8)"
33,Image,HandOutlines,"(8, 10)"
34,Motion,Haptics,"(8, 10)"
35,Image,Herring,"(4, 6)"
36,Motion,InlineSkate,"(2, 10)"
37,Sensor,InsectWingbeatSound,"(2, 8)"
39,Device,LargeKitchenAppliances,"(2, 10)"
40,Sensor,Lightning2,"(8, 6)"
41,Sensor,Lightning7,"(4, 10)"
42,Simulated,Mallat,"(16, 8)"
43,Spectro,Meat,"(1, 8)"
45,Image,MiddlePhalanxOutlineAgeGroup,"(4, 8)"
47,Image,MiddlePhalanxTW,"(4, 6)"
54,Sensor,Phoneme,"(8, 10)"
56,Image,ProximalPhalanxOutlineAgeGroup,"(4, 10)"
59,Device,RefrigerationDevices,"(2, 10)"
61,Simulated,ShapeletSim,"(4, 10)"
62,Image,ShapesAll,"(2, 10)"
65,Sensor,SonyAIBORobotSurface2,"(1, 10)"
67,Spectro,Strawberry,"(4, 10)"
69,Image,Symbols,"(8, 10)"
70,Simulated,SyntheticControl,"(2, 10)"
71,Motion,ToeSegmentation1,"(4, 10)"
73,Sensor,Trace,"(1, 8)"
74,ECG,TwoLeadECG,"(1, 8)"
75,Simulated,TwoPatterns,"(4, 10)"
78,Motion,UWaveGestureLibraryY,"(4, 10)"
80,Sensor,Wafer,"(4, 4)"
81,Spectro,Wine,"(1, 10)"
84,Motion,WormsTwoClass,"(2, 4)"
85,Image,Yoga,"(2, 10)"
101,HRM,Fungi,"(4,10)"
127,Simulated,SmoothSubspace,"(1,8)"
