ID,Name,gRSF,1NN+DTW,FS,LS,SD,ELIS,BSPCover,CRSF,1v1gRSF,1v1DTW,1v1FS,1v1LS,1v1SD,1v1ELIS,1v1BSPCover,gRSF,1NN+DTW,FS,LS,SD,ELIS,BSPCover,CRSF
2,ArrowHead,0.714,0.783,0.6,0.823,0.699,0.8,0.806,0.723,1,-1,1,-1,1,-1,-1,6,4,8,1,7,3,2,5
4,BeetleFly,0.9,0.8,0.65,0.85,0.683,0.8,0.9,0.96,1,1,1,1,1,1,1,2.5,5.5,8,4,7,5.5,2.5,1
5,BirdChicken,0.8,0.9,0.75,0.8,0.633,0.9,0.85,0.965,1,1,1,1,1,1,1,5.5,2.5,7,5.5,8,2.5,4,1
7,CBF,0.992,0.991,0.958,0.991,0.981,0.927,0.997,0.994,1,1,1,1,1,1,-1,3,4.5,7,4.5,6,8,1,2
8,ChlConcen,0.662,0.647,0.583,0.585,0.538,0.274,0.612,0.625,-1,-1,1,1,1,1,1,1,2,6,5,7,8,4,3
10,Coffee,0.929,1,0.893,1,0.845,0.964,1,1,1,0,1,0,1,1,0,6,2.5,7,2.5,8,5,2.5,2.5
15,DiatomSizRed,0.827,0.98,0.886,0.98,0.914,0.899,0.873,0.914,1,-1,1,-1,0,1,1,8,1.5,6,1.5,3.5,5,7,3.5
16,DistPhaOutAgGrp,0.734,0.727,0.669,0.719,0.667,0.734,0.468,0.736,1,1,1,1,1,1,1,2,4,6,5,7,3,8,1
17,DistalPhaOutCor,0.772,0.768,0.779,0.793,0.731,0.721,0.832,0.783,1,1,1,-1,1,1,-1,5,6,4,2,7,8,1,3
19,Earthquakes,0.748,0.683,0.684,0.741,0.648,0.776,-,0.748,1,1,1,1,1,-1,1,3,6,5,4,7,1,8,2
21,ECG200,0.84,0.84,0.77,0.86,0.84,0.81,0.64,0.847,1,1,1,-1,1,1,1,4,4,7,1,4,6,8,2
22,ECGFiveDays,0.999,0.7,0.998,1,0.724,0.955,1,0.978,-1,1,-1,-1,1,1,-1,3,8,4,1.5,7,6,1.5,5
23,ElectricDev,0.748,0.754,0.549,0.929,0.593,0.087,0.242,0.728,-1,-1,1,-1,1,1,1,3,2,6,1,5,8,7,4
24,FaceAll,0.75,0.946,0.624,0.749,0.713,0.756,0.763,0.737,-1,-1,1,-1,1,-1,-1,4,1,8,5,7,3,2,6
25,FaceFour,0.875,0.83,0.921,0.966,0.805,0.955,0.966,0.975,1,1,1,1,1,1,1,6,7,5,2.5,8,4,2.5,1
26,FacesUCR,0.905,0.886,0.674,0.939,0.849,0.636,0.783,0.872,-1,-1,1,-1,1,1,1,2,3,7,1,5,8,6,4
29,FordA,0.932,0.586,0.837,0.94,0.848,0.676,0.963,0.889,-1,1,1,-1,1,1,-1,3,8,6,2,5,7,1,4
32,Ham,0.791,0.695,0.724,0.638,0.575,0.638,0.762,0.745,-1,1,1,1,1,1,-1,1,5,4,6.5,8,6.5,2,3
33,HandOutlines,0.905,0.838,0.876,0.954,0.862,-,-,0.92,1,1,1,-1,1,1,1,3,6,4,1,5,7.5,7.5,2
34,Haptics,0.471,0.416,0.351,-,0.353,0.416,0.451,0.471,0,1,1,1,1,1,1,1.5,4.5,7,8,6,4.5,3,1.5
35,Herring,0.547,0.469,0.609,0.594,0.506,-,0.656,0.654,1,1,1,1,1,1,-1,5,7,3,4,6,8,1,2
36,InlineSkate,0.378,0.384,0.295,0.438,0.398,0.355,-,0.406,1,1,1,-1,1,1,1,5,4,7,1,3,6,8,2
37,InsectWingSnd,0.637,0.358,0.49,0.606,0.495,0.596,0.545,0.583,-1,1,1,-1,1,-1,1,1,8,7,2,6,3,5,4
39,LargeKitchenApp,0.808,0.789,0.333,0.701,0.652,0.333,0.851,0.83,1,1,1,1,1,1,-1,3,4,7.5,5,6,7.5,1,2
40,Lightning2,0.754,0.803,0.639,0.803,0.774,-,0.82,0.813,1,1,1,1,1,1,-1,6,3.5,7,3.5,5,8,1,2
41,Lightning7,0.685,0.685,0.534,-,0.625,-,0.534,0.764,1,1,1,1,1,1,1,2.5,2.5,6,7.5,4,7.5,5,1
42,Mallat,0.946,0.935,0.958,0.753,0.931,0.816,0.768,0.971,1,1,1,1,1,1,1,3,4,2,8,5,6,7,1
43,Meat,0.917,1,0.783,0.817,0.88,0.55,0.75,0.948,1,-1,1,1,1,1,1,3,1,6,5,4,8,7,2
45,MidPhaOutAgeGrp,0.604,0.584,0.533,0.584,0.518,-,0.188,0.635,1,1,1,1,1,1,1,2,3.5,5,3.5,6,8,7,1
47,MiddlePhalanxTW,0.552,0.487,0.5,0.481,0.461,-,0.273,0.602,1,1,1,1,1,1,1,2,4,3,5,6,8,7,1
54,Phoneme,0.315,0.228,0.174,0.218,0.146,-,-,0.236,-1,1,1,1,1,1,1,1,3,5,4,6,7.5,7.5,2
56,ProxPhaOutAgeGrp,0.844,0.805,0.824,0.815,0.767,0.834,0.488,0.854,1,1,1,1,1,1,1,2,6,4,5,7,3,8,1
59,RefrigDev,0.589,0.464,0.333,0.515,0.51,0.4,-,0.564,-1,1,1,1,1,1,1,1,5,7,3,4,6,8,2
61,ShapeletSim,0.989,0.65,1,0.972,0.697,1,0.844,0.82,-1,1,-1,-1,1,-1,-1,3,8,1.5,4,7,1.5,5,6
62,ShapesAll,0.835,0.768,0.61,-,0.786,-,-,0.854,1,1,1,1,1,1,1,2,4,5,7,3,7,7,1
65,SonyAIBORoSur2,0.88,0.831,0.789,0.893,0.77,0.914,0.935,0.927,1,1,1,1,1,1,-1,5,6,7,4,8,3,1,2
67,Strawberry,0.949,0.941,0.914,0.905,0.898,0.839,0.943,0.938,-1,-1,1,1,1,1,-1,1,3,5,6,7,8,2,4
69,Symbols,0.776,0.95,0.925,0.938,0.856,0.808,0.934,0.948,1,-1,1,1,1,1,1,8,1,5,3,6,7,4,2
70,SyntheticControl,0.997,0.993,0.923,0.997,0.976,0.993,0.997,0.991,-1,-1,1,-1,1,-1,-1,2,4.5,8,2,7,4.5,2,6
71,ToeSegmentation1,0.956,0.772,0.921,0.939,0.857,0.978,0.965,0.925,-1,1,1,-1,1,-1,-1,3,8,6,4,7,1,2,5
73,Trace,1,1,1,1,0.958,1,0.81,1,0,0,0,0,1,0,1,3.5,3.5,3.5,3.5,7,3.5,8,3.5
74,TwoLeadECG,0.99,0.904,0.925,0.997,0.869,0.998,0.997,0.951,-1,1,1,-1,1,-1,-1,4,7,6,2.5,8,1,2.5,5
75,TwoPatterns,0.995,1,0.259,0.993,0.981,0.998,0.998,0.988,-1,-1,1,-1,1,-1,-1,4,1,8,5,7,2.5,2.5,6
78,UWaveGestLibY,0.722,0.634,0.611,0.703,0.671,0.693,-,0.703,-1,1,1,0,1,1,1,1,6,7,2.5,5,4,8,2.5
80,Wafer,1,0.98,0.998,0.996,0.993,0.994,0.998,0.995,-1,1,-1,-1,1,1,-1,1,8,2.5,4,7,6,2.5,5
81,Wine,0.759,0.574,0.759,0.5,0.548,0.5,0.5,0.766,1,1,1,1,1,1,1,2.5,4,2.5,7,5,7,7,1
84,WormsTwoClass,0.792,0.623,0.727,0.727,0.649,0.718,0.746,0.777,-1,1,1,1,1,1,1,1,8,4.5,4.5,7,6,3,2
85,Yoga,0.843,0.836,0.7,0.828,0.801,0.839,-,0.827,-1,-1,1,-1,1,-1,1,1,3,7,4,6,2,8,5
101,Fungi,0.613,0.796,0.726,0.748,0.358,0.505,0.113,0.97,1,1,1,1,1,1,1,5,2,4,3,7,6,8,1
127,SmoothSubspace,0.92,0.833,0.767,0.807,0.859,0.927,0.333,0.951,1,1,1,1,1,1,1,3,5,7,6,4,2,8,1
,Rank Mean,3.18,4.49,5.62,3.86,6.07,5.36,4.67,2.75,,,,,,,,3.18,4.49,5.62,3.86,6.07,5.36,4.67,2.75
,Total Best,13,7,2,11,0,5,10,16,,,,,,,,,,,,,,,
,CRSF 1v1 Wins,28,36,46,28,49,39,31,-,,,,,,,,,,,,,,,
,CRSF 1v1 Draws,2,2,1,3,1,1,1,-,,,,,,,,,,,,,,,
,CRSF 1v1 Losses,20,12,3,19,0,10,18,-,,,,,,,,,,,,,,,
,,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,
