ID,Type,Name,Train,Test,Class,Length,Features,CRSF Accu,CRSF Train,CRSF Test,gRSF Accu,gRSF Train,gRSF Test,BSPCover Accu,BSPCover Train,Name,Ratio
1,Image,ArrowHead                                         ,36,175,3,251,3012,0.723,0.45,2.64,0.691,12.59,0.12,0.789,96.56,ArrowHead,28
2,Image,BeetleFly                                         ,20,20,2,512,5120,0.96,0.25,0.42,0.9,10.76,0.04,0.9,125.13,BeetleFly,43
3,Image,BirdChicken                                       ,20,20,2,512,5120,0.965,0.26,0.61,0.8,11.52,0.04,0.9,41.98,BirdChicken,44.3
4,Simulated,CBF                                               ,30,900,3,128,1280,0.994,0.39,5.28,0.983,11.51,0.21,0.331,0.45,CBF,29.5
5,Sensor,ChlorineConcentration                             ,467,3840,3,166,25840.66667,0.625,2.41,168.59,0.675,134.75,2.73,0.533,5.77,ChlConcen,55.9
6,Spectro,Coffee                                            ,28,28,2,286,4004,1,0.26,0.44,0.964,11.23,0.04,0.964,18.11,Coffee,43.2
7,Image,DiatomSizeReduction                               ,16,306,4,345,1380,0.914,0.77,11.18,0.974,11.68,0.13,0.765,115.96,DiatomSizRed,15.2
8,Image,DistalPhalanxOutlineAgeGroup                      ,400,139,3,80,10666.66667,0.736,0.9,2.32,0.734,16.19,0.14,0.468,1.99,DistPhaOutAgGrp,18
9,Image,DistalPhalanxOutlineCorrect                       ,600,276,2,80,24000,0.783,0.87,2.64,0.786,17.97,0.13,0.583,2.5,DistalPhaOutCor,20.7
10,Sensor,Earthquakes                                       ,322,139,2,512,82432,0.748,0.7,2.27,0.748,86.77,0.55,-,,Earthquakes,124
11,ECG,ECG200                                           ,100,100,2,96,4800,0.847,0.37,0.79,0.84,18.9,1.05,0.64,0.75,ECG200,51.1
12,ECG,ECGFiveDays                                       ,23,861,2,136,1564,0.978,0.21,5.39,1,11.36,0.22,0.497,0.44,ECGFiveDays,54.1
13,Device,ElectricDevices                                   ,8926,7711,7,96,122413.7143,0.728,35.9,123.18,0.749,224.91,2.51,0.242,24.68,ElectricDev,6.3
14,Image,FaceAll                                           ,560,1690,14,131,5240,0.737,2.89,14.77,0.759,12.43,1.24,0.138,3.39,FaceAll,4.3
15,Image,FaceFour                                          ,24,88,4,350,2100,0.975,0.64,1.91,1,11.35,0.1,0.784,92.96,FaceFour,17.7
16,Image,FacesUCR                                          ,200,2050,14,131,1871.428571,0.872,1.33,16.08,0.858,18.13,1.52,0.143,4.6,FacesUCR,13.6
17,Sensor,FordA                                             ,3601,1320,2,500,900250,0.889,36.55,101.76,0.93,926.84,5.55,0.516,51.03,FordA,25.4
18,Spectro,Ham                                               ,109,105,2,431,23489.5,0.745,0.38,2.35,0.791,18.8,0.15,0.762,928.37,Ham,49.5
19,Image,HandOutlines                                      ,1000,370,2,2709,1354500,0.92,8.46,50.77,0.914,2736.63,12.34,-,,HandOutlines,323.5
20,Motion,Haptics                                           ,155,308,5,1092,33852,0.471,1.2,6.45,0.477,224.58,1.06,0.412,4955.78,Haptics,187.2
21,Image,Herring                                           ,64,64,2,512,16384,0.654,0.36,2.12,0.563,15.95,0.1,0.656,278.52,Herring,44.3
22,Motion,InlineSkate                                       ,100,550,7,1882,26885.71429,0.406,13.35,280.77,0.389,885.55,12.29,-,,InlineSkate,66.3
23,Sensor,InsectWingbeatSound                               ,220,1980,11,256,5120,0.583,1.52,33.12,0.637,23.5,1.35,0.545,6213.749,InsectWingSnd,15.5
24,Device,LargeKitchenAppliances                            ,375,375,3,720,90000,0.83,4.05,34.34,0.819,155.81,2.12,0.851,6314.79,LargeKitchenApp,38.5
25,Sensor,Lightning2                                        ,60,61,2,637,19110,0.813,0.3,1.13,0.803,16.9,0.09,0.803,293.204,Lightning2,56.3
26,Sensor,Lightning7                                        ,70,73,7,319,3190,0.752,0.91,1.33,0.699,15.32,0.12,0.589,272.153,Lightning7,16.8
27,Simulated,Mallat                                            ,55,2345,8,1024,7040,0.971,0.6,14.16,0.947,11.84,15.33,0.585,3596.815,Mallat,19.7
28,Spectro,Meat                                              ,60,60,3,448,8960,0.948,1.6,4.71,0.917,13.29,0.07,0.75,38.854,Meat,8.3
29,Image,MiddlePhalanxOutlineAgeGroup                      ,400,154,3,80,10666.66667,0.635,0.71,1.38,0.558,16.53,0.08,0.188,1.968,MidPhaOutAgeGrp,23.3
30,Image,MiddlePhalanxTW                                   ,399,154,6,80,5320,0.602,0.86,1.43,0.565,17.55,0.09,0.273,1.369,MiddlePhalanxTW,20.4
31,Sensor,Phoneme                                           ,214,1896,39,1024,5618.871795,0.236,3.94,34.49,0.305,204.56,25.33,-,,Phoneme,51.9
32,Image,ProximalPhalanxOutlineAgeGroup                    ,400,205,3,80,10666.66667,0.854,0.88,1.7,0.849,15.47,0.1,0.488,20.66,ProPhaOutAgeGrp,17.6
33,Device,RefrigerationDevices                              ,375,375,3,720,90000,0.564,5.75,37.1,0.549,198.64,2.14,-,,RefrigDev,34.5
34,Simulated,ShapeletSim                                       ,20,180,2,500,5000,0.82,0.28,2.71,0.989,11.73,0.2,0.856,426.921,ShapeletSim,41.9
35,Image,ShapesAll                                         ,600,600,60,512,5120,0.854,10.85,31.58,0.84,133.31,2.16,-,,ShapesAll,12.3
36,Sensor,SonyAIBORobotSurface2                             ,27,953,2,65,877.5,0.927,0.23,5.76,0.932,11.28,0.19,0.617,0.442,SonyAIBORoSur2,49
37,Spectro,Strawberry                                        ,613,370,2,235,72027.5,0.938,0.97,4.45,0.954,31.81,0.26,0.927,1100.344,Strawberry,32.8
38,Image,Symbols                                           ,25,995,6,398,1658.333333,0.948,0.6,5.42,0.952,11.3,0.77,0.916,162.179,Symbols,18.8
39,Simulated,SyntheticControl                                  ,300,300,6,60,3000,0.991,0.97,2.12,0.993,20.7,0.1,0.167,1.166,SyntheticContrl,21.3
40,Motion,ToeSegmentation1                                  ,40,228,2,277,5540,0.925,0.26,2.15,0.956,11.89,0.16,0.969,44.982,ToeSegmentat1,45.7
41,Sensor,Trace                                             ,100,100,4,275,6875,1,1.54,4.26,1,12.75,0.09,0.79,42.386,Trace,8.3
